lemma;pos;form;pos_m;with_rule_id;index
половина;noun;полу;*;rule961([полу/само] + verb -> verb);0
сам;pron;само;*;rule961([полу/само] + verb -> verb);0
фицировать;suffixoid;фицировать;*;rule962(noun + [фицировать] -> verb);1
половина;noun;полу;*;rule1026([полу] + adv -> adv);0
мимо;adv;мимо;*;rule1027([мимо/само] + verb + ом -> adv);0
сам;pron;само;*;rule1027([мимо/само] + verb + ом -> adv);0
половина;noun;пол;*;rule1028(в + [пол] + noun + GEN -> adv);0
половина;noun;пол;*;rule1029(в + [пол/три] + adj + а -> adv);0
три;num;три;*;rule1029(в + [пол/три] + adj + а -> adv);0
образный;suffixoid;образный;adj;rule754([adj_stem] + adj -> adj);1
валентный;suffixoid;валентный;adj;rule754([adj_stem] + adj -> adj);1
геничный;suffixoid;геничный;adj;rule754([adj_stem] + adj -> adj);1
генный;suffixoid;генный;adj;rule754([adj_stem] + adj -> adj);1
достойный;adj;досто;adj;rule754([adj_stem] + adj -> adj);0
все;pron;все;adj;rule754([adj_stem] + adj -> adj);0
самый;pron;само;adj;rule754([adj_stem] + adj -> adj);0
образный;suffixoid;образный;adj;rule754([noun_stem] + adj -> adj);1
валентный;suffixoid;валентный;adj;rule754([noun_stem] + adj -> adj);1
геничный;suffixoid;геничный;adj;rule754([noun_stem] + adj -> adj);1
генный;suffixoid;генный;adj;rule754([noun_stem] + adj -> adj);1
много;adv;много;num;rule754([num_stem] + adj -> adj);0
мало;adv;мало;num;rule754([num_stem] + adj -> adj);0
половина;noun;полу;num;rule754([num_stem] + adj -> adj);0
иначе;adv;инако;adj;rule754([adj_stem] + part -> adj);0
еже;prefixoid;еже;adj;rule754([adj_stem] + adj -> adj);0
псевдо;prefixoid;псевдо;adj;rule754([adj_stem] + adj -> adj);0
квази;prefixoid;квази;adj;rule754([adj_stem] + adj -> adj);0
био;prefixoid;био;noun;rule754([noun_stem] + adj -> adj);0
выше;comporative;выше;adv;rule776([adv] + part -> adj);0
ниже;comporative;ниже;adv;rule776([adv] + part -> adj);0
всё;pron;все;adv;rule776([adv] + part -> adj);0
